Partner,Instagram,New App Launch?,Months Since Launch,Estimated Launch Date,To Date Total Revenue,Current Subs,To Date Stripe Unique Subs,To Date Estimated Total Unique Subs,Total Unique Subs Percentile,Unique Subs Amount Rating,US Rating 1,US Rating 2,US Rating 3,Rev per Unique Sub,Percentile of Rev per Unique Sub,Rev per Sub Ranking,RS Rating 1,RS Rating 2,RS Rating 3,To Date Rev Percentile,To Date Rev Percentile Rating,R Rating 1,R Rating 2,R Rating 3,Max Subs,Max Sub Percentile,Max Sub Ranking,S Rating 1,S Rating 2,S Rating 3,Rev at Max Subs,Month of Max Subs,Max Sub Preak Month Percentile,Growth Percentile Ranking,G Rating 1,G Rating 2,G Rating 3,Stripe %,Apple %,Google %,Monthly %,Quarterly %,Yearly %,Subs at Month 3,Rev at Month 3,Subs at Month 8,Rev at Month 8,Subs at Month 13,Rev at Month 13,Subs at Month 18,Rev at Month 18,Subs at Month 24,Rev at Month 24
Anita Herbert,anita_herbert,0,41,1/27/19," $274,660.71 ",28,689,3443,56%,US2,0,1,0, $79.75 ,69%,RS2,0,1,0,64%,R2,0,1,0,1231,54%,S2,0,1,0," $133,461.95 ",12,67%,G2,0,1,0,25%,67%,8%,25%,41%,34%,725," $26,107.47 ",1110," $81,211.49 ",1156," $144,815.50 ",1006," $194,471.12 ",779," $245,007.51 "
AshleyKfit,ashleykfit,0,52,2/27/18," $56,615.04 ",28,140,633,23%,US1,1,0,0, $89.29 ,82%,RS3,0,0,1,28%,R2,0,1,0,285,23%,S1,1,0,0," $11,347.10 ",5,31%,G2,0,1,0,28%,65%,6%,51%,17%,32%,220," $4,983.94 ",284," $20,219.90 ",228," $31,920.43 ",193," $40,916.72 ",110," $47,406.11 "
Bikini Boss,theresadepasquale,0,45,9/28/18," $18,008.75 ",13,92,244,5%,US1,1,0,0, $73.62 ,67%,RS2,0,1,0,8%,R1,1,0,0,128,3%,S1,1,0,0," $4,281.68 ",3,8%,G1,1,0,0,60%,40%,0%,16%,29%,54%,128," $4,281.68 ",117," $9,036.54 ",91," $12,163.04 ",72," $14,448.85 ",50," $15,667.05 "
Body By Oriana,orianavtorres,0,10,8/28/21," $157,558.81 ",1749,1659,4444,64%,US2,0,1,0, $35.45 ,8%,RS1,1,0,0,54%,R2,0,1,0,1820,67%,S2,0,1,0," $134,483.10 ",9,51%,G2,0,1,0,60%,40%,0%,33%,42%,26%,962," $46,389.36 ",1745," $127,378.03 ",0, $-   ,0, $-   ,0, $-   
Bodymaze,andreiabrazier,0,42,12/28/18," $37,979.82 ",24,127,381,8%,US1,1,0,0, $99.68 ,87%,RS3,0,0,1,21%,R1,1,0,0,161,10%,S1,1,0,0," $20,901.44 ",10,54%,G2,0,1,0,50%,43%,7%,30%,26%,44%,99," $4,955.03 ",123," $15,588.79 ",118," $24,002.20 ",98," $28,671.08 ",71," $32,621.97 "
Boothcamp,shawn_booth18,0,48,6/28/18," $334,477.49 ",1,1574,5438,72%,US2,0,1,0, $61.50 ,41%,RS2,0,1,0,74%,R2,0,1,0,2751,82%,S3,0,0,1," $104,600.91 ",4,23%,G1,1,0,0,41%,57%,2%,35%,41%,24%,2657," $82,972.42 ",1780," $190,054.89 ",1321," $245,879.27 ",811," $294,101.64 ",548," $320,725.27 "
Caro & Rocio,rocioguiraodiaz,1,3,3/29/22," $33,549.50 ",1502,1171,2342,46%,US2,0,1,0, $14.32 ,0%,RS1,1,0,0,18%,R1,1,0,0,1502,59%,S2,0,1,0," $33,549.50 ",3,8%,G1,1,0,0,100%,0%,0%,100%,0%,0%,1502," $33,549.50 ",0, $-   ,0, $-   ,0, $-   ,0, $-   
Conqherfit,samibossert,0,32,10/28/19," $267,724.07 ",281,1147,3324,54%,US2,0,1,0, $80.53 ,72%,RS2,0,1,0,62%,R2,0,1,0,1388,56%,S2,0,1,0," $97,742.35 ",10,54%,G2,0,1,0,53%,43%,4%,20%,42%,38%,318," $15,559.79 ",633," $56,597.14 ",1157," $148,351.10 ",1064," $200,875.34 ",713," $243,514.40 "
Curvy & Cut,anowaadjah,0,45,9/28/18," $276,379.98 ",41,1621,4599,67%,US2,0,1,0, $60.09 ,38%,RS2,0,1,0,67%,R2,0,1,0,1043,49%,S2,0,1,0," $207,737.55 ",27,87%,G3,0,0,1,54%,34%,11%,36%,32%,32%,343," $9,831.79 ",622," $34,145.27 ",788," $70,643.35 ",771," $116,309.83 ",890," $167,028.39 "
Fit and Thick,nicole_mejia,0,68,10/28/16," $1,103,256.16 ",1,556,16718,97%,US3,0,0,1, $65.98 ,46%,RS2,0,1,0,97%,R3,0,0,1,4497,95%,S3,0,0,1," $664,315.24 ",19,85%,G3,0,0,1,0%,97%,3%,82%,13%,5%,2239," $57,570.37 ",3633," $202,362.54 ",4088," $401,265.59 ",4156," $619,246.88 ",3375," $863,182.83 "
Fit By Valen,valentinalequeux,0,47,7/29/18," $215,381.86 ",87,998,3015,51%,US2,0,1,0, $71.41 ,64%,RS2,0,1,0,59%,R2,0,1,0,1227,51%,S2,0,1,0," $68,535.38 ",8,44%,G2,0,1,0,49%,48%,3%,31%,39%,30%,16, $644.12 ,1227," $68,535.38 ",801," $112,864.50 ",625," $154,973.33 ",420," $184,728.03 "
Fit With Jen,hunnybunsfit,0,28,2/27/20," $554,462.66 ",2212,3087,8331,87%,US3,0,0,1, $66.54 ,49%,RS2,0,1,0,85%,R3,0,0,1,2212,77%,S3,0,0,1," $554,462.66 ",28,92%,G3,0,0,1,59%,34%,8%,24%,20%,56%,699," $33,554.12 ",1312," $107,238.77 ",1616," $196,284.53 ",2036," $323,518.90 ",2099," $451,807.38 "
Fit With Mandy,mandysacs,0,37,5/29/19," $22,932.55 ",22,170,491,18%,US1,1,0,0, $46.66 ,21%,RS1,1,0,0,15%,R1,1,0,0,204,15%,S1,1,0,0," $13,517.68 ",13,69%,G2,0,1,0,53%,47%,0%,36%,23%,41%,102," $3,773.60 ",89," $7,506.30 ",204," $13,517.68 ",76," $17,674.23 ",55," $20,232.19 "
Fit With Whit,whitneyjohns,0,53,1/27/18," $97,969.00 ",162,354,1212,38%,US2,0,1,0, $80.78 ,74%,RS2,0,1,0,41%,R2,0,1,0,336,28%,S2,0,1,0," $25,946.40 ",13,69%,G2,0,1,0,41%,59%,0%,43%,28%,29%,106," $2,952.23 ",192," $12,254.01 ",336," $25,946.40 ",286," $39,166.66 ",315," $57,239.14 "
FitLove Squad,ericafitlove,0,9,9/28/21," $282,541.02 ",1666,2975,6337,77%,US3,0,0,1, $44.58 ,15%,RS1,1,0,0,69%,R2,0,1,0,1836,72%,S2,0,1,0," $254,837.58 ",7,38%,G2,0,1,0,88%,11%,0%,48%,0%,52%,1474," $131,008.63 ",1747," $268,565.71 ",0, $-   ,0, $-   ,0, $-   
Fitness by Vivi,fitness_by_vivi,0,9,9/28/21," $135,437.35 ",1754,1669,3791,62%,US2,0,1,0, $35.72 ,10%,RS1,1,0,0,46%,R2,0,1,0,1821,69%,S2,0,1,0," $121,533.14 ",7,38%,G2,0,1,0,79%,19%,3%,13%,24%,63%,1064," $58,551.35 ",1805," $126,402.98 ",0, $-   ,0, $-   ,0, $-   
FST-7,hanyrambod,0,8,10/28/21," $63,867.73 ",506,510,1214,41%,US2,0,1,0, $52.57 ,28%,RS2,0,1,0,33%,R2,0,1,0,506,38%,S2,0,1,0," $63,867.73 ",8,44%,G2,0,1,0,72%,28%,0%,39%,0%,61%,482," $41,612.71 ",506," $63,867.73 ",0, $-   ,0, $-   ,0, $-   
Iron Giantess,theirongiantess,0,37,5/29/19," $44,453.82 ",46,211,627,21%,US1,1,0,0, $70.80 ,62%,RS2,0,1,0,23%,R1,1,0,0,319,26%,S2,0,1,0," $14,684.50 ",3,8%,G1,1,0,0,51%,49%,0%,25%,27%,48%,319," $14,684.50 ",208," $25,124.94 ",165," $32,528.29 ",127," $36,380.29 ",126," $40,045.41 "
Jessie's Girls,jessie_hilgenberg,0,45,9/28/18," $382,385.89 ",42,2500,6568,79%,US3,0,0,1, $58.21 ,33%,RS2,0,1,0,77%,R3,0,0,1,2963,87%,S3,0,0,1," $278,184.88 ",10,54%,G2,0,1,0,61%,33%,5%,18%,28%,55%,2525," $116,691.77 ",2701," $228,750.60 ",2567," $355,554.50 ",986," $382,062.71 ",594," $382,323.94 "
Ladyfit,ladyfit,0,11,7/29/21," $17,322.39 ",133,161,387,10%,US1,1,0,0, $44.66 ,18%,RS1,1,0,0,5%,R1,1,0,0,195,13%,S1,1,0,0," $10,141.99 ",3,8%,G1,1,0,0,71%,29%,0%,20%,30%,51%,195," $10,141.99 ",142," $15,557.06 ",0, $-   ,0, $-   ,0, $-   
Lais DeLeon,laisdeleon,0,53,1/27/18," $293,599.20 ",560,1271,3577,59%,US2,0,1,0, $82.07 ,77%,RS3,0,0,1,72%,R2,0,1,0,807,46%,S2,0,1,0," $246,530.49 ",42,100%,G3,0,0,1,55%,41%,4%,44%,29%,27%,398," $10,327.69 ",492," $33,674.33 ",494," $61,665.08 ",472," $86,169.14 ",471," $117,513.28 "
Lift With Class,casssmartin,0,48,6/28/18," $682,707.69 ",17,1790,7958,85%,US3,0,0,1, $85.78 ,79%,RS3,0,0,1,87%,R3,0,0,1,2521,79%,S3,0,0,1," $141,754.89 ",5,31%,G2,0,1,0,29%,63%,8%,66%,11%,22%,1701," $73,094.57 ",1973," $237,919.04 ",1473," $357,333.78 ",1532," $484,409.41 ",1149," $599,464.95 "
MACFIT,tay_macfit,0,15,3/29/21," $67,662.66 ",480,550,1344,44%,US2,0,1,0, $50.31 ,23%,RS1,1,0,0,36%,R2,0,1,0,534,41%,S2,0,1,0," $51,173.59 ",11,62%,G2,0,1,0,69%,31%,0%,20%,25%,55%,375," $17,658.94 ",468," $39,332.75 ",509," $61,316.41 ",0, $-   ,0, $-   
Massy Arias,massy.arias,0,32,10/28/19," $171,227.31 ",6,818,2478,49%,US2,0,1,0, $69.07 ,51%,RS2,0,1,0,56%,R2,0,1,0,1681,62%,S2,0,1,0," $101,753.64 ",3,8%,G1,1,0,0,49%,44%,7%,18%,31%,51%,1681," $101,753.64 ",1109," $154,977.72 ",421," $167,592.98 ",60," $170,945.84 ",2," $171,227.31 "
MinneNinja,minneninja,0,61,5/29/17," $113,509.96 ",0,298,1068,36%,US2,0,1,0, $106.24 ,97%,RS3,0,0,1,44%,R2,0,1,0,481,36%,S2,0,1,0," $4,007.17 ",2,5%,G1,1,0,0,39%,61%,0%,60%,14%,26%,410," $9,004.14 ",407," $37,314.21 ",337," $56,416.81 ",339," $70,725.69 ",301," $88,234.94 "
My Trainer Carmen,mytrainercarmen,0,64,2/26/17," $511,869.57 ",2,912,4934,69%,US2,0,1,0, $103.72 ,92%,RS3,0,0,1,82%,R3,0,0,1,1936,74%,S2,0,1,0," $220,923.74 ",15,77%,G3,0,0,1,23%,72%,5%,62%,14%,25%,1365," $27,821.80 ",1622," $95,624.37 ",1718," $187,032.20 ",1744," $271,626.92 ",1390," $366,828.72 "
Nikki Rica Fit,nikkirica,0,59,7/29/17," $72,635.01 ",2,175,725,28%,US2,0,1,0, $100.12 ,90%,RS3,0,0,1,38%,R2,0,1,0,341,31%,S2,0,1,0," $42,318.78 ",17,82%,G3,0,0,1,32%,68%,0%,56%,17%,27%,237," $5,599.86 ",248," $18,731.43 ",281," $31,055.25 ",299," $45,124.44 ",191," $56,543.10 "
Noelle Benepe,noellebenepe,1,3,3/29/22," $148,564.21 ",2349,2528,5848,74%,US2,0,1,0, $25.40 ,3%,RS1,1,0,0,49%,R2,0,1,0,2957,85%,S3,0,0,1," $57,993.64 ",1,0%,G1,1,0,0,76%,24%,0%,77%,0%,23%,2349," $148,564.21 ",0, $-   ,0, $-   ,0, $-   ,0, $-   
PMEO,erinoprea,0,29,1/28/20," $3,977,144.74 ",14025,21508,56395,100%,US3,0,0,1, $70.52 ,56%,RS2,0,1,0,100%,R3,0,0,1,20930,100%,S3,0,0,1," $2,189,580.05 ",15,77%,G3,0,0,1,62%,36%,2%,22%,0%,78%,10605," $518,185.61 ",16193," $1,029,684.55 ",17173," $1,724,334.58 ",18220," $2,525,551.55 ",18291," $3,333,635.03 "
SRV Society,frantzcesca.casimir,0,7,11/27/21," $19,348.42 ",181,313,715,26%,US2,0,1,0, $27.03 ,5%,RS1,1,0,0,13%,R1,1,0,0,235,18%,S1,1,0,0," $4,623.27 ",1,0%,G1,1,0,0,78%,22%,0%,67%,0%,33%,213," $9,748.01 ",0, $-   ,0, $-   ,0, $-   ,0, $-   
Sugary Sixpack,sugarysixpack,0,53,1/27/18," $153,322.07 ",4,146,454,15%,US1,1,0,0, $337.35 ,100%,RS3,0,0,1,51%,R2,0,1,0,803,44%,S2,0,1,0," $61,012.42 ",11,62%,G2,0,1,0,47%,47%,6%,27%,25%,48%,486," $14,473.79 ",744," $41,287.63 ",716," $75,518.68 ",580," $98,327.18 ",517," $120,265.34 "
Tianna Gregory,tiannag,0,48,6/28/18," $57,833.01 ",51,392,1012,33%,US2,0,1,0, $57.11 ,31%,RS2,0,1,0,31%,R2,0,1,0,398,33%,S2,0,1,0," $21,308.34 ",6,36%,G2,0,1,0,63%,37%,0%,48%,15%,36%,389," $12,938.68 ",339," $25,558.01 ",249," $34,464.42 ",207," $39,904.76 ",234," $48,195.02 "
Train With Janna,jannabreslin,0,44,10/28/18," $19,070.90 ",17,195,431,13%,US1,1,0,0, $44.17 ,13%,RS1,1,0,0,10%,R1,1,0,0,131,5%,S1,1,0,0," $5,653.09 ",4,23%,G1,1,0,0,82%,18%,0%,14%,19%,68%,117," $4,208.87 ",127," $8,594.61 ",117," $12,482.45 ",99," $15,839.55 ",76," $16,995.44 "
Train With Joan,trainwithjoan,0,10,8/28/21," $716,512.99 ",5699,4433,11196,92%,US3,0,0,1, $63.99 ,44%,RS2,0,1,0,90%,R3,0,0,1,5803,97%,S3,0,0,1," $680,217.02 ",8,44%,G2,0,1,0,66%,34%,0%,18%,0%,82%,4303," $423,485.75 ",5803," $680,217.02 ",0, $-   ,0, $-   ,0, $-   
Train With Lyzabeth,lyzabethlopez,0,57,9/27/17," $949,792.55 ",1500,4450,13717,95%,US3,0,0,1, $69.23 ,54%,RS2,0,1,0,92%,R3,0,0,1,3593,92%,S3,0,0,1," $620,965.50 ",32,95%,G3,0,0,1,48%,46%,6%,59%,19%,22%,2818," $48,650.19 ",3376," $188,226.35 ",3182," $314,410.78 ",2427," $426,729.14 ",1868," $506,574.33 "
Train With Tanya,tanyapoppett,0,38,4/29/19," $44,681.35 ",80,357,858,31%,US2,0,1,0, $52.03 ,26%,RS2,0,1,0,26%,R2,0,1,0,257,21%,S1,1,0,0," $21,981.53 ",13,69%,G2,0,1,0,71%,29%,0%,20%,27%,53%,145," $5,979.76 ",164," $11,411.41 ",257," $21,981.53 ",189," $29,003.37 ",167," $35,187.34 "
Workouts By Gabriel,gabrielabandy,0,59,7/29/17," $458,106.12 ",618,2497,7668,82%,US3,0,0,1, $59.74 ,36%,RS2,0,1,0,79%,R3,0,0,1,1799,64%,S2,0,1,0," $335,004.09 ",35,97%,G3,0,0,1,48%,50%,1%,61%,24%,15%,943," $18,688.05 ",1099," $72,042.36 ",1504," $137,586.94 ",1194," $197,184.76 ",1100," $258,043.87 "
Yarisha Fitness,yarishna,0,33,9/28/19," $15,730.45 ",12,35,160,0%,US1,1,0,0, $97.98 ,85%,RS3,0,0,1,3%,R1,1,0,0,155,8%,S1,1,0,0," $4,325.29 ",3,8%,G1,1,0,0,28%,72%,0%,49%,25%,27%,155," $4,325.29 ",94," $9,437.84 ",51," $11,457.16 ",33," $13,201.54 ",27," $14,625.85 "
Austin and Julian,juliandaigre,0,48,6/28/18," $15,275.96 ",9,71,216,3%,US1,1,0,0, $70.68 ,59%,RS2,0,1,0,0%,R1,1,0,0,106,0%,S1,1,0,0," $4,408.86 ",4,23%,G1,1,0,0,49%,51%,0%,27%,33%,40%,99," $3,144.55 ",80," $7,638.47 ",67," $9,892.31 ",50," $11,801.14 ",39," $13,116.82 "
ZBody,zoelivelovelift,0,49,5/29/18," $1,033,467.85 ",1099,3282,9829,90%,US3,0,0,1, $105.13 ,95%,RS3,0,0,1,95%,R3,0,0,1,3120,90%,S3,0,0,1," $736,026.81 ",27,87%,G3,0,0,1,50%,41%,9%,31%,33%,36%,2125," $87,761.50 ",2683," $235,956.67 ",2830," $384,780.82 ",2525," $503,105.94 ",3013," $646,608.67 "